[2026-08-04T00:49:39] scan started
[scan.sh] Python: Python 3.11.9
[scan.sh] PYTHONIOENCODING=utf-8
=== skill-updater · V1.0 ===
扫描根: /c/Users/li/.claude
格式: all
网络: 关闭
README: 跳过
==============================================================================================================
  skill-updater · 扫描报告 · 2026-08-04 00:49:52
==============================================================================================================
扫描到 SKILL: 2062
🟢 跳过: 0   🟡 推荐 review: 16   🔴 必读告警: 0   🟣 本地定制: 2046
--------------------------------------------------------------------------------------------------------------
状态   skill 名                        本地 ver     上游 HEAD    upstream license   备注
🟣    baoyu-post-to-x                1.58.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-slide-deck               1.117.4    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-translate                1.117.3    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-url-to-markdown          1.56.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-wechat-summary           1.119.0    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-xhs-images               2.0.1      -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-youtube-transcript       1.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟡    cinema-director-laoli          1.0.0      -          -                  上游 fetch 状态：skipped
🟡    generative-media-skills        1.0.0      -          -                  上游 fetch 状态：skipped
🟣    muapi-ai-clipping              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ai-clipping              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-3d-logo-animation        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ai-fight-scene           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-animal-video-generator   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-award-ceremony-video     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-cartoon-dance-animation  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-character-story-video    1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-cinema-director          0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-drone-style-video        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-freeze-effect-video      1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-giant-product-showcase   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-jewelry-product-video    1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-cinema-director          0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-product-video-ad-maker   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-seedance-2               0.3.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-social-media-video       1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ugc-video-factory        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-youtube-shorts           2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-youtube-thumbnail        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-music-video              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-one-shot-video           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-product-ad-cinematic     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-product-showcase-video   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-product-video-ad-maker   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-seedance-2               0.3.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-storyboard-to-cooking-v  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-talking-baby-video       1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ugc-lifestyle-try-on     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ugc-video-factory        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-instagram-post           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-product-campaign         1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-rednote-cover            1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-social-media-video       1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-social-pack              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ugc-ads-workflow         1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-youtube-shorts           2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-action-figure-generator  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ad-creative              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-amazon-product-listing   1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-blog-header              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-brand-kit                1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-brochures                1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-chibi-collage-effect     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-color-analysis-board     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-couple-grid-creator      1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-design-guide             1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-fashion-try-on           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-floor-plan-rendering     1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-interior-design          1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-interior-design-visuali  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-keyboard-art-maker       1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-logo-branding            1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-logo-creator             0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-logo-generator           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ad-creative              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-instagram-post           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-logo-creator             0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-nano-banana              0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ui-design                0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-multi-angle-reshoot      1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-multi-angle-shots        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-nano-banana              0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-photo-pack-generator     0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-selfie-with-celebrities  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-storyboard               1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-ui-design                0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-url-to-design            1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-youtube-thumbnail        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-workflow                 0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-media-editing            0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-media-generation         0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    muapi-platform                 0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    global-stock-data-bridge       1.0        -          -                  本地定制（source type=missing，无上游比对）
🟡    guizang-social-card-skill      -          -          -                  上游 fetch 状态：skipped
🟡    nano-banana-brief              1.0.0      -          -                  上游 fetch 状态：skipped
🟣    skill-updater                  1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    blogger-fingerprint-registry   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    gpt-image-2-api-integration    2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    gpt-image-2-bridge             1.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟡    gpt-image-2-gallery-explorer   1.0.0      -          -                  上游 fetch 状态：skipped
🟣    gpt-image-2-prompt-library     2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟡    gpt-image-2-style-library      2.0.0      -          -                  上游 fetch 状态：skipped
🟣    gpt-image-2-voxcpm-bridge      1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    multi-platform-publisher       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    voxcpm-multi-speaker           1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟡    voxcpm-tts-integration         1.0.0      -          -                  上游 fetch 状态：skipped
🟣    voxcpm-voice-distillery        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    claude-opus-4-5-migration      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-design                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    Writing Hookify Rules          0.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    api-design                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    article-writing                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    backend-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    coding-standards               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-engine                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    e2e-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    eval-harness                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-slides                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-materials             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-outreach              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-research                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    strategic-compact              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    verification-loop              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    article-writing                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-engine                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-slides                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-materials             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-outreach              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-research                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    backend-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    clickhouse-io                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    coding-standards               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    configure-ecc                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning-v2         2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    cpp-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-security                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-tdd                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-verification            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    eval-harness                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iterative-retrieval            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    java-coding-standards          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    jpa-patterns                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nutrient-document-processing   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    postgres-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    project-guidelines-example     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-scan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-patterns            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-security            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-tdd                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-verification        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    strategic-compact              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    verification-loop              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-harness-construction     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agentic-engineering            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ai-first-engineering           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    api-design                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    article-writing                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    autonomous-loops               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    backend-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    clickhouse-io                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    coding-standards               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    configure-ecc                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-engine                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-hash-cache-pattern     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-agent-loop          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning-v2         2.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-aware-llm-pipeline        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cpp-coding-standards           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cpp-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    database-migrations            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    deployment-patterns            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-security                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-tdd                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-verification            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    docker-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    e2e-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    enterprise-agent-ops           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    eval-harness                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    foundation-models-on-device    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-slides                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-materials             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-outreach              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iterative-retrieval            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    java-coding-standards          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    jpa-patterns                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    liquid-glass-design            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-research                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nanoclaw-repl                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nutrient-document-processing   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    plankton-code-quality          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    postgres-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    project-guidelines-example     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ralphinho-rfc-pipeline         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    regex-vs-llm-structured-text   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    search-first                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-scan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    skill-stocktake                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-patterns            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-security            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-tdd                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-verification        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    strategic-compact              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-actor-persistence        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-concurrency-6-2          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-protocol-di-testing      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swiftui-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    verification-loop              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    visa-doc-translate             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    backend-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    clickhouse-io                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    coding-standards               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning-v2         2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    eval-harness                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iterative-retrieval            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    postgres-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    project-guidelines-example     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    strategic-compact              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    verification-loop              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-harness-construction     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agentic-engineering            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ai-first-engineering           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    api-design                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    article-writing                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    autonomous-loops               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    backend-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    clickhouse-io                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    coding-standards               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    configure-ecc                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-engine                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-hash-cache-pattern     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-agent-loop          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    continuous-learning-v2         2.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-aware-llm-pipeline        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cpp-coding-standards           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cpp-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    database-migrations            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    deployment-patterns            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-security                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-tdd                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    django-verification            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    docker-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    e2e-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    enterprise-agent-ops           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    eval-harness                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    foundation-models-on-device    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    frontend-slides                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    golang-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-materials             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    investor-outreach              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iterative-retrieval            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    java-coding-standards          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    jpa-patterns                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    liquid-glass-design            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-research                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nanoclaw-repl                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nutrient-document-processing   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    plankton-code-quality          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    postgres-patterns              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    project-guidelines-example     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-patterns                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    python-testing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ralphinho-rfc-pipeline         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    regex-vs-llm-structured-text   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    search-first                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-scan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    skill-stocktake                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-patterns            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-security            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-tdd                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    springboot-verification        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    strategic-compact              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-actor-persistence        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-concurrency-6-2          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swift-protocol-di-testing      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swiftui-patterns               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    verification-loop              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    visa-doc-translate             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    algorithmic-art                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    artifacts-builder              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    brand-guidelines               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    canvas-design                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    docx                           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pdf                            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pptx                           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    xlsx                           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    internal-comms                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    mcp-builder                    -          -          -                  本地定制（source type=missing，无上游比对）
